Title,Description,Rating,Votes,Price,Instructor,Course_URL
Computer Vision,"This course covers computer vision in depth, providing practical examples and expert guidance.",4.35,5646,101.87,Clara Davis,https://example.com/course/computer-vision-1587
Machine Learning Ops,"This course covers machine learning ops in depth, providing practical examples and expert guidance.",4.9,3894,57.15,David Lee,https://example.com/course/machine-learning-ops-9790
Business Analytics,"This course covers business analytics in depth, providing practical examples and expert guidance.",4.34,3509,114.16,Frank Wilson,https://example.com/course/business-analytics-1043
Network Security,"This course covers network security in depth, providing practical examples and expert guidance.",4.19,663,33.28,Clara Davis,https://example.com/course/network-security-7825
Git and GitHub,"This course covers git and github in depth, providing practical examples and expert guidance.",3.97,9054,132.17,Grace Martinez,https://example.com/course/git-and-github-1548
Entrepreneurship Basics,"This course covers entrepreneurship basics in depth, providing practical examples and expert guidance.",4.7,2910,179.53,Clara Davis,https://example.com/course/entrepreneurship-basics-1225
Node.js Essentials,"This course covers node.js essentials in depth, providing practical examples and expert guidance.",4.1,3859,52.05,David Lee,https://example.com/course/node.js-essentials-1500
NoSQL Databases,"This course covers nosql databases in depth, providing practical examples and expert guidance.",3.81,1236,96.64,Jack Lopez,https://example.com/course/nosql-databases-2221
Digital Marketing,"This course covers digital marketing in depth, providing practical examples and expert guidance.",4.27,2529,161.36,Hank Garcia,https://example.com/course/digital-marketing-8746
Agile and Scrum,"This course covers agile and scrum in depth, providing practical examples and expert guidance.",3.51,824,178.74,Hank Garcia,https://example.com/course/agile-and-scrum-8646
SQL Mastery,"This course covers sql mastery in depth, providing practical examples and expert guidance.",3.99,1115,172.03,Bob Smith,https://example.com/course/sql-mastery-4680
Advanced Machine Learning,"This course covers advanced machine learning in depth, providing practical examples and expert guidance.",4.98,8784,103.46,Hank Garcia,https://example.com/course/advanced-machine-learning-7860
SEO Essentials,"This course covers seo essentials in depth, providing practical examples and expert guidance.",4.07,1583,191.59,Alice Johnson,https://example.com/course/seo-essentials-2682
Quantum Computing,"This course covers quantum computing in depth, providing practical examples and expert guidance.",4.57,9084,184.53,Alice Johnson,https://example.com/course/quantum-computing-8733
Unity Game Development,"This course covers unity game development in depth, providing practical examples and expert guidance.",4.67,650,105.01,Jack Lopez,https://example.com/course/unity-game-development-6245
Digital Marketing,"This course covers digital marketing in depth, providing practical examples and expert guidance.",4.29,3397,147.63,Ivy Rodriguez,https://example.com/course/digital-marketing-9799
Ethical Hacking,"This course covers ethical hacking in depth, providing practical examples and expert guidance.",4.16,2581,25.43,Eva Brown,https://example.com/course/ethical-hacking-3101
AI for Everyone,"This course covers ai for everyone in depth, providing practical examples and expert guidance.",3.5,6649,137.47,Grace Martinez,https://example.com/course/ai-for-everyone-9697
Docker and Kubernetes,"This course covers docker and kubernetes in depth, providing practical examples and expert guidance.",3.95,5134,187.63,Grace Martinez,https://example.com/course/docker-and-kubernetes-2585
Web Development,"This course covers web development in depth, providing practical examples and expert guidance.",4.38,9040,68.2,Jack Lopez,https://example.com/course/web-development-1193
SQL Mastery,"This course covers sql mastery in depth, providing practical examples and expert guidance.",4.67,9373,72.61,David Lee,https://example.com/course/sql-mastery-2433
Rust Programming,"This course covers rust programming in depth, providing practical examples and expert guidance.",4.49,720,167.38,Grace Martinez,https://example.com/course/rust-programming-1806
Operating System Concepts,"This course covers operating system concepts in depth, providing practical examples and expert guidance.",3.58,6736,97.17,Ivy Rodriguez,https://example.com/course/operating-system-concepts-1504
Flutter for Mobile Apps,"This course covers flutter for mobile apps in depth, providing practical examples and expert guidance.",3.97,3589,45.26,Jack Lopez,https://example.com/course/flutter-for-mobile-apps-5129
Data Structures,"This course covers data structures in depth, providing practical examples and expert guidance.",4.02,934,45.27,Bob Smith,https://example.com/course/data-structures-6614
Google Cloud Platform,"This course covers google cloud platform in depth, providing practical examples and expert guidance.",4.77,1339,104.12,Frank Wilson,https://example.com/course/google-cloud-platform-1549
Android Development,"This course covers android development in depth, providing practical examples and expert guidance.",3.82,6259,83.69,Ivy Rodriguez,https://example.com/course/android-development-2580
Machine Learning Ops,"This course covers machine learning ops in depth, providing practical examples and expert guidance.",4.84,9263,75.98,Hank Garcia,https://example.com/course/machine-learning-ops-9549
Java Spring Boot,"This course covers java spring boot in depth, providing practical examples and expert guidance.",4.93,3258,145.93,Hank Garcia,https://example.com/course/java-spring-boot-5299
Linear Algebra for ML,"This course covers linear algebra for ml in depth, providing practical examples and expert guidance.",3.89,1720,19.01,Ivy Rodriguez,https://example.com/course/linear-algebra-for-ml-7475
Cloud Computing,"This course covers cloud computing in depth, providing practical examples and expert guidance.",4.67,8201,139.05,Frank Wilson,https://example.com/course/cloud-computing-8296
Quantum Computing,"This course covers quantum computing in depth, providing practical examples and expert guidance.",4.28,231,46.42,Jack Lopez,https://example.com/course/quantum-computing-8535
Big Data Analytics,"This course covers big data analytics in depth, providing practical examples and expert guidance.",4.91,1244,135.54,Frank Wilson,https://example.com/course/big-data-analytics-9449
Digital Marketing,"This course covers digital marketing in depth, providing practical examples and expert guidance.",3.87,7946,71.28,Hank Garcia,https://example.com/course/digital-marketing-2721
Cloud Computing,"This course covers cloud computing in depth, providing practical examples and expert guidance.",4.92,4255,70.75,Alice Johnson,https://example.com/course/cloud-computing-3371
Advanced Machine Learning,"This course covers advanced machine learning in depth, providing practical examples and expert guidance.",3.71,2987,73.25,Eva Brown,https://example.com/course/advanced-machine-learning-9716
AWS Fundamentals,"This course covers aws fundamentals in depth, providing practical examples and expert guidance.",3.55,5603,74.06,Bob Smith,https://example.com/course/aws-fundamentals-1709
Game Design Principles,"This course covers game design principles in depth, providing practical examples and expert guidance.",3.53,2683,104.42,Eva Brown,https://example.com/course/game-design-principles-1656
AWS Fundamentals,"This course covers aws fundamentals in depth, providing practical examples and expert guidance.",4.62,5649,138.8,Clara Davis,https://example.com/course/aws-fundamentals-6585
Network Security,"This course covers network security in depth, providing practical examples and expert guidance.",4.47,8034,54.03,Ivy Rodriguez,https://example.com/course/network-security-6155
